id,forum_category_id,user_id,title,slug,forum_posts_count,pinned,solved,created_at,updated_at
1,1,2,How do I logout? Or in?,how-do-i-logout-or-in,5,false,true,2021-10-15 09:23:33 +0900,2021-10-27 09:04:08 +0900
2,3,1,To-do List,to-do-list,91,false,false,2021-10-18 10:00:37 +0900,2024-06-12 16:38:04 +0900
3,3,1,New category names,new-category-names,6,false,false,2021-10-28 08:28:06 +0900,2021-11-02 12:35:05 +0900
4,1,3,'71 Cubs: Championship or Bust,71-cubs-championship-or-bust,22,false,false,2021-10-28 22:27:41 +0900,2022-01-06 19:54:12 +0900
5,4,1,The Beginning of Infinity,the-beginning-of-infinity,6,false,false,2021-10-31 19:25:35 +0900,2021-11-01 15:56:04 +0900
6,5,1,"Bitcoin, Inflation, Deflation, Stablecoins and Fiat.",bitcoin-inflation-deflation-stablecoins-and-fiat,2,false,false,2021-11-02 11:21:02 +0900,2021-11-02 13:56:01 +0900
7,1,3,An Amazing Movie Script,an-amazing-movie-script,14,false,false,2021-11-04 22:33:31 +0900,2021-11-25 13:03:03 +0900
8,4,1,Enjoying the Dangerous View from the Frontier,enjoying-the-dangerous-view-from-the-frontier,53,false,false,2021-11-05 19:32:33 +0900,2021-12-02 15:50:55 +0900
9,3,2,A Proposal to Define a New Thread Format,a-proposal-to-define-a-new-thread-format,8,false,false,2021-11-17 23:02:33 +0900,2021-11-30 10:13:46 +0900
10,6,1,New Music,new-music,8,false,false,2021-11-24 09:38:03 +0900,2023-01-02 12:26:22 +0900
11,1,3,The Cake Cutter Principle,the-cake-cutter-principle,12,false,false,2021-11-24 23:20:21 +0900,2021-12-02 19:43:56 +0900
12,1,2,Here is a very long post title just to test whether a title of 255 characters is possible. That’s an arbitrary number but it’s just a few characters more than Fidel’s statement about The Cake Cutter Principal. There should probably be some limit in place.,here-is-a-very-long-post-title-just-to-test-whether-a-title-of-255-characters-is-possible-that-s-an-arbitrary-number-but-it-s-just-a-few-characters-more-than-fidel-s-statement-about-the-cake-cutter-principal-there-should-probably-be-some-limit-in-place,2,false,true,2021-11-25 07:57:48 +0900,2021-12-02 15:30:03 +0900
13,5,4,Investing,investing,9,false,false,2021-12-13 19:20:40 +0900,2022-01-20 15:48:59 +0900
14,1,4,Podcasts,podcasts,10,false,false,2021-12-13 19:22:40 +0900,2022-01-03 21:23:02 +0900
15,4,2,The Spinning Magnet,the-spinning-magnet,8,false,false,2022-01-04 11:41:15 +0900,2022-01-12 11:00:25 +0900
16,1,1,Random Cool Stuff,random-cool-stuff,3,false,false,2022-01-20 08:17:38 +0900,2022-01-20 19:42:05 +0900
17,4,2,The Life and Death of Planet Earth,the-life-and-death-of-planet-earth,4,false,false,2022-05-04 08:41:53 +0900,2022-05-16 08:58:40 +0900
18,5,1,Matthew Piepenburg: Debt and War - The Signs of a Dying Empire,matthew-piepenburg-debt-and-war-the-signs-of-a-dying-empire,4,false,false,2022-05-05 08:51:23 +0900,2022-05-05 13:46:15 +0900
19,1,1,Taking Children Seriously,taking-children-seriously,9,false,false,2022-05-12 09:23:03 +0900,2024-09-14 19:05:11 +0900
20,1,3,Fidel's Predictions,fidel-s-predictions,14,false,false,2022-05-13 00:39:35 +0900,2022-10-15 21:03:15 +0900
21,4,3,Fidel Scratching His Head,fidel-scratching-his-head,61,false,false,2024-06-02 11:20:25 +0900,2024-06-15 19:39:13 +0900
54,4,2,Death💀,death,11,false,false,2024-07-27 13:59:05 +0900,2024-09-14 18:26:38 +0900
87,7,1,Election 2024,election-2024,4,false,false,2024-09-14 08:18:55 +0900,2024-09-14 13:17:14 +0900
